Genome-ID,Oral_Taxon-ID,Genus,Species,SubSpecies,Strain,No. Contigs,Total Length,MAG,Assembly Level,GC %,Genus_for_pathogen,is_pathogen
GCA_028327565.1,HMT-962,Hominimerdicola,aceti,,D59st1_B8_D59t2_181005,29,3146046,,Scaffold,42.97,hominimerdicola,0
GCA_028327595.1,HMT-962,Hominimerdicola,aceti,,D59st1_B5_D59t2_181005,30,3097113,,Scaffold,42.79,hominimerdicola,0
GCA_902385825.1,HMT-962,Hominimerdicola,aceti,,MGYG-HGUT-02321,2,2968500,,Contig,42.62,hominimerdicola,0
GCA_003433295.1,HMT-673,Hornefia,minuta,,ATCC 700079,2,1906764,,Chromosome,46.78,hornefia,0
GCA_938036205.1,HMT-673,Hornefia,minuta,,ERR589655_bin.98_CONCOCT_v1.1_MAG,52,1801930,yes,Contig,45.98,hornefia,0
GCA_000510425.1,HMT-694,Hornefia,nodatum,,ATCC 33099,29,1829558,,Contig,38.1,hornefia,0
GCA_905372015.1,HMT-694,Hornefia,nodatum,,SRR9217393-mag-bin.6,94,1840341,yes,Contig,38.19,hornefia,0
GCA_938041115.1,HMT-694,Hornefia,nodatum,,ERR589490_bin.67_CONCOCT_v1.1_MAG,85,1947223,yes,Contig,37.9,hornefia,0
GCA_000177075.1,HMT-562,Hoylesella,buccalis,,ATCC 35310,118,3033961,,Contig,45.31,hoylesella,0
GCA_000759185.1,HMT-562,Hoylesella,buccalis,,DNF00853,97,2954213,,Contig,45.56,hoylesella,0
GCA_000759265.1,HMT-562,Hoylesella,buccalis,,DNF00985,102,2756480,,Contig,45.69,hoylesella,0
GCA_002884635.1,HMT-562,Hoylesella,buccalis,,UMB0536,40,3231435,,Scaffold,45.35,hoylesella,0
GCA_020555745.1,HMT-562,Hoylesella,buccalis,,DFI.7.71,163,3152030,,Contig,45.36,hoylesella,0
GCA_020735565.1,HMT-562,Hoylesella,buccalis,,FDAARGOS_1588,1,3308411,,Complete Genome,45.3,hoylesella,0
GCA_025151385.1,HMT-562,Hoylesella,buccalis,,ATCC 35310,1,3307707,,Complete Genome,45.3,hoylesella,0
GCA_902465605.1,HMT-562,Hoylesella,buccalis,,MGYG-HGUT-00760,31,2818339,,Contig,45.72,hoylesella,0
GCA_902488665.1,HMT-562,Hoylesella,buccalis,,MGYG-HGUT-03742,108,2540681,,Contig,46.1,hoylesella,0
GCA_000613405.1,HMT-600,Hoylesella,enoeca,,JCM 12259,117,2784020,,Contig,46.51,hoylesella,0
GCA_001444445.1,HMT-600,Hoylesella,enoeca,,F0113,1,2861432,,Complete Genome,46.47,hoylesella,0
GCA_003977605.1,HMT-526,Hoylesella,koreensis,,KCOM 3155,2,2691540,,Scaffold,43.88,hoylesella,0
GCA_937974105.1,HMT-526,Hoylesella,koreensis,,SRR9217471_bin.92_CONCOCT_v1.1_MAG,489,1970687,yes,Contig,44.5,hoylesella,0
GCA_000163495.1,HMT-658,Hoylesella,loescheii,,F0295,39,3635499,,Scaffold,47.69,hoylesella,0
GCA_000378085.1,HMT-658,Hoylesella,loescheii,,DSM 19665,31,3508589,,Scaffold,46.67,hoylesella,0
GCA_000613485.1,HMT-658,Hoylesella,loescheii,,JCM 12249,47,3475255,,Contig,46.59,hoylesella,0
GCA_000698925.1,HMT-658,Hoylesella,loescheii,,ATCC 15930,54,3475052,,Scaffold,46.76,hoylesella,0
GCA_905373515.1,HMT-658,Hoylesella,loescheii,,SRR9217473-mag-bin.9,99,3296002,yes,Contig,46.73,hoylesella,0
GCA_937919505.1,HMT-658,Hoylesella,loescheii,,SRR2240920_bin.15_CONCOCT_v1.1_MAG,49,3451367,yes,Contig,46.63,hoylesella,0
GCA_000146675.1,HMT-665,Hoylesella,marshii,,DSM 16973,11,2559358,,Scaffold,48.33,hoylesella,0
GCA_000613625.1,HMT-665,Hoylesella,marshii,,JCM 13450,80,2518161,,Contig,47.45,hoylesella,0
GCA_938010375.1,HMT-665,Hoylesella,marshii,,ERR589471_bin.58_CONCOCT_v1.1_MAG,120,1975953,yes,Contig,47.93,hoylesella,0
GCA_000163055.2,HMT-299,Hoylesella,nanceiensis,,F0039,2,2480269,,Complete Genome,37.5,hoylesella,0
GCA_000379965.1,HMT-299,Hoylesella,nanceiensis,,DSM 19126,12,2650108,,Scaffold,38.39,hoylesella,0
GCA_000613985.1,HMT-299,Hoylesella,nanceiensis,,JCM 15639,22,2647472,,Contig,38.36,hoylesella,0
GCA_015262135.1,HMT-299,Hoylesella,nanceiensis,,JCVI_44_bin.6,239,2302548,yes,Scaffold,38.38,hoylesella,0
GCA_015262145.1,HMT-299,Hoylesella,nanceiensis,,JCVI_49_bin.8,95,2259893,yes,Scaffold,38.28,hoylesella,0
GCA_015262195.1,HMT-299,Hoylesella,nanceiensis,,JCVI_41_bin.4,50,2368848,yes,Contig,38.18,hoylesella,0
GCA_015262225.1,HMT-299,Hoylesella,nanceiensis,,JCVI_38_bin.6,113,2464974,yes,Contig,38.17,hoylesella,0
GCA_015262265.1,HMT-299,Hoylesella,nanceiensis,,JCVI_32_bin.47,160,2275608,yes,Contig,38.12,hoylesella,0
GCA_015262295.1,HMT-299,Hoylesella,nanceiensis,,JCVI_19_bin.2,49,2494468,yes,Contig,38.05,hoylesella,0
GCA_019375915.1,HMT-299,Hoylesella,nanceiensis,,SCHI0011.S.12,11,2627131,,Contig,38.58,hoylesella,0
GCA_019375945.1,HMT-299,Hoylesella,nanceiensis,,SCHI0010.S.3,11,2722841,,Contig,38.56,hoylesella,0
GCA_019391835.1,HMT-299,Hoylesella,nanceiensis,,SCHI0042.S.5,21,2593621,,Contig,38.37,hoylesella,0
GCA_030826125.1,HMT-299,Hoylesella,nanceiensis,,RAGGC_60,30,2440093,,Scaffold,38.17,hoylesella,0
GCA_916048365.1,HMT-299,Hoylesella,nanceiensis,,ERR2764814_bin.4_metaWRAP_v1.1_MAG,103,2448351,yes,Contig,38.09,hoylesella,0
GCA_916719955.1,HMT-299,Hoylesella,nanceiensis,,SRR15235667_bin.3_metaWRAP_v1.1_MAG,55,2335203,yes,Contig,38.23,hoylesella,0
GCA_937926735.1,HMT-299,Hoylesella,nanceiensis,,SRR8114039_bin.50_CONCOCT_v1.1_MAG,13,2600230,yes,Contig,38.3,hoylesella,0
GCA_000185145.2,HMT-705,Hoylesella,oralis,,ATCC 33269,4,2839537,,Scaffold,44.65,hoylesella,0
GCA_000413355.1,HMT-705,Hoylesella,oralis,,HGA0225,7,2857367,,Scaffold,44.7,hoylesella,0
GCA_000507905.1,HMT-705,Hoylesella,oralis,,CC98A,6,2990162,,Scaffold,44.87,hoylesella,0
GCA_900065875.1,HMT-705,Hoylesella,oralis,,SN19,12,2922118,,Scaffold,44.61,hoylesella,0
GCA_900129435.1,HMT-705,Hoylesella,oralis,,DSM 20702,17,2812609,,Contig,44.52,hoylesella,0
GCA_902375085.1,HMT-705,Hoylesella,oralis,,MGYG-HGUT-01447,7,2857367,,Scaffold,44.7,hoylesella,0
GCA_000468135.1,HMT-303,Hoylesella,pleuritidis,,F0068,51,2709958,,Contig,44.98,hoylesella,0
GCA_000613725.1,HMT-303,Hoylesella,pleuritidis,,JCM 14110,49,2560108,,Contig,44.98,hoylesella,0
GCA_905372045.1,HMT-303,Hoylesella,pleuritidis,,SRR9217394-mag-bin.6,77,2394927,yes,Contig,45.03,hoylesella,0
GCA_000318195.2,HMT-781,Hoylesella,saccharolytica,,F0055,71,2853490,,Scaffold,43.2,hoylesella,0
GCA_000614205.1,HMT-781,Hoylesella,saccharolytica,,JCM 17484,82,2975513,,Contig,43.3,hoylesella,0
GCA_905372675.1,HMT-781,Hoylesella,saccharolytica,,SRR9217428-mag-bin.33,73,2409554,yes,Contig,43.51,hoylesella,0
GCA_000613445.1,HMT-795,Hoylesella,shahii,,JCM 12083,142,3489881,,Contig,44.38,hoylesella,0
GCA_003201715.1,HMT-795,Hoylesella,shahii,,DSM 15611,98,3511526,,Scaffold,44.36,hoylesella,0
GCA_015260835.1,HMT-795,Hoylesella,shahii,,JCVI_44_bin.17,150,3277821,yes,Contig,44.56,hoylesella,0
GCA_015260845.1,HMT-795,Hoylesella,shahii,,JCVI_11_bin.5,175,3170731,yes,Scaffold,44.42,hoylesella,0
GCA_937990675.1,HMT-795,Hoylesella,shahii,,ERR589682_bin.108_CONCOCT_v1.1_MAG,82,3194357,yes,Contig,44.51,hoylesella,0
GCA_000162415.1,HMT-317,Hoylesella,sp. HMT-317,,F0108,61,4099098,,Scaffold,48.4,hoylesella,0
GCA_905372375.1,HMT-317,Hoylesella,sp. HMT-317,,SRR9217414-mag-bin.19,256,3132726,yes,Contig,47.38,hoylesella,0
GCA_938011465.1,HMT-317,Hoylesella,sp. HMT-317,,ERR589365_bin.88_CONCOCT_v1.1_MAG,219,3680910,yes,Contig,47.34,hoylesella,0
GCA_018127805.1,HMT-475,Hoylesella,sp. HMT-475,,F0059,1,2560308,,Complete Genome,50.02,hoylesella,0
GCA_000258405.1,HMT-982,Ignavibacterium,album,,JCM 16511,1,3658997,,Complete Genome,33.93,ignavibacterium,0
GCA_001889125.1,HMT-339,Janibacter,indicus,,YFY001,1,3401189,,Complete Genome,71.24,janibacter,0
GCA_014217915.1,HMT-339,Janibacter,indicus,,YB324,1,3369845,,Complete Genome,71.4,janibacter,0
GCA_014883915.1,HMT-339,Janibacter,indicus,,TT2,1,3663756,,Complete Genome,71.02,janibacter,0
GCA_900176385.1,HMT-339,Janibacter,indicus,,CGMCC 1.12511,29,3419539,,Scaffold,71.24,janibacter,0
GCA_000425825.1,HMT-243,Jeotgalicoccus,marinus,,DSM 19772,26,2109822,,Scaffold,36.81,jeotgalicoccus,0
GCA_011634875.1,HMT-243,Jeotgalicoccus,marinus,,S0W5,28,2178643,,Scaffold,36.76,jeotgalicoccus,0
GCA_016313225.1,HMT-243,Jeotgalicoccus,marinus,,ATCC 8456,1,2090457,,Complete Genome,36.92,jeotgalicoccus,0
GCA_946222715.1,HMT-243,Jeotgalicoccus,marinus,,VH8NOi5sr4_bin.11.MAG,92,1976173,yes,Contig,36.97,jeotgalicoccus,0
GCA_000235445.1,HMT-635,Johnsonella,ignava,,ATCC 51276,43,2687075,,Scaffold,36.09,johnsonella,0
GCA_938040855.1,HMT-635,Johnsonella,ignava,,ERR589381_bin.122_CONCOCT_v1.1_MAG,79,2072513,yes,Contig,35.66,johnsonella,0
GCA_000161995.1,HMT-777,Jonquetella,anthropi,,E3_33 E1,2,1790058,,Scaffold,59.06,jonquetella,0
GCA_000237805.1,HMT-777,Jonquetella,anthropi,,DSM 22815,1,1675934,,Chromosome,59.52,jonquetella,0
GCA_000468895.1,HMT-777,Jonquetella,anthropi,,BV3C21,29,1654274,,Contig,59.72,jonquetella,0
GCA_902488485.1,HMT-777,Jonquetella,anthropi,,MGYG-HGUT-03722,87,1614807,,Contig,60.01,jonquetella,0
GCA_905373535.1,HMT-777,Jonquetella,anthropi,,SRR9217479-mag-bin.5,120,1598362,yes,Contig,59.7,jonquetella,0
GCA_947253985.1,HMT-777,Jonquetella,anthropi,,SRR17635703_bin.40_metaWRAP_v1.3_MAG,51,1646710,yes,Contig,59.52,jonquetella,0
GCA_000190695.1,HMT-582,Kingella,denitrificans,,ATCC 33394,12,2220455,,Scaffold,54.79,kingella,0
GCA_016127355.1,HMT-582,Kingella,denitrificans,,FDAARGOS_1060,1,2220058,,Complete Genome,54.02,kingella,0
GCA_900169325.1,HMT-582,Kingella,denitrificans,,GC77,80,2030828,,Contig,54.6,kingella,0
GCA_900451365.1,HMT-582,Kingella,denitrificans,,NCTC10995,2,2243142,,Contig,54.01,kingella,0
GCA_916719905.1,HMT-582,Kingella,denitrificans,,SRR15235659_bin.10_metaWRAP_v1.1_MAG,181,1753766,yes,Contig,54.89,kingella,0
GCA_938030635.1,HMT-582,Kingella,denitrificans,,ERR589374_bin.71_CONCOCT_v1.1_MAG,153,1715556,yes,Contig,55.17,kingella,0
GCA_000213535.1,HMT-646,Kingella,kingae,,ATCC 23330,20,1975353,,Scaffold,48.36,kingella,0
GCA_000255635.1,HMT-646,Kingella,kingae,,PYKK081,94,2097547,,Scaffold,47.61,kingella,0
GCA_000283375.1,HMT-646,Kingella,kingae,,11220434,65,2016589,,Scaffold,48.35,kingella,0
GCA_000469905.1,HMT-646,Kingella,kingae,,AA417,1,1991234,,Scaffold,48.56,kingella,0
GCA_000470115.1,HMT-646,Kingella,kingae,,KK199,1,1991254,,Scaffold,48.5,kingella,0
GCA_000470155.1,HMT-646,Kingella,kingae,,KK145,1,1991194,,Scaffold,48.46,kingella,0
GCA_000470255.1,HMT-646,Kingella,kingae,,KK12,1,1991016,,Scaffold,48.46,kingella,0
GCA_000470275.1,HMT-646,Kingella,kingae,,KK156,1,1991357,,Scaffold,48.5,kingella,0
GCA_000470415.1,HMT-646,Kingella,kingae,,KK107,1,1991285,,Scaffold,48.61,kingella,0
GCA_000470475.1,HMT-646,Kingella,kingae,,KK83,1,1991029,,Scaffold,48.5,kingella,0
GCA_000470675.1,HMT-646,Kingella,kingae,,KK6,1,1991268,,Scaffold,48.59,kingella,0
GCA_000751135.1,HMT-646,Kingella,kingae,,na,33,2128528,,Contig,46.56,kingella,0
GCA_001458475.1,HMT-646,Kingella,kingae,,KWG1,1,2140065,,Complete Genome,46.48,kingella,0
GCA_011045755.1,HMT-646,Kingella,kingae,,F41215CHC,1,2014880,,Complete Genome,46.55,kingella,0
GCA_011612385.1,HMT-646,Kingella,kingae,,ATCC 23332,1,2058531,,Complete Genome,46.42,kingella,0
GCA_011612705.1,HMT-646,Kingella,kingae,,ATCC 23331,1,2018460,,Complete Genome,46.53,kingella,0
GCA_014762905.1,HMT-646,Kingella,kingae,,chl4475,100,1964801,,Contig,46.64,kingella,0
GCA_014762915.1,HMT-646,Kingella,kingae,,chl2764,95,1965870,,Contig,46.64,kingella,0
GCA_014762925.1,HMT-646,Kingella,kingae,,chl3548,89,1965646,,Contig,46.65,kingella,0
GCA_022871005.1,HMT-646,Kingella,kingae,,4177/66,1,2006535,,Complete Genome,46.57,kingella,0
GCA_030180205.1,HMT-646,Kingella,kingae,,BB149,274,2078926,,Contig,46.71,kingella,0
GCA_030180215.1,HMT-646,Kingella,kingae,,AA393,257,2076833,,Contig,46.71,kingella,0
GCA_030180225.1,HMT-646,Kingella,kingae,,AA478,201,1940298,,Contig,46.69,kingella,0
GCA_030180265.1,HMT-646,Kingella,kingae,,BB270,170,1926728,,Contig,46.72,kingella,0
GCA_030180275.1,HMT-646,Kingella,kingae,,AA392U8,188,1919505,,Contig,46.74,kingella,0
GCA_030180315.1,HMT-646,Kingella,kingae,,AA392D9,185,1927784,,Contig,46.72,kingella,0
GCA_030180375.1,HMT-646,Kingella,kingae,,AA080,197,1978873,,Contig,46.72,kingella,0
GCA_030181145.1,HMT-646,Kingella,kingae,,UnkB,207,1970142,,Contig,46.8,kingella,0
GCA_030181155.1,HMT-646,Kingella,kingae,,Sch187,203,1932055,,Contig,46.66,kingella,0
GCA_030181185.1,HMT-646,Kingella,kingae,,UnkA,198,1941097,,Contig,46.75,kingella,0
GCA_030181195.1,HMT-646,Kingella,kingae,,PYHERBlood,284,2052192,,Contig,46.64,kingella,0
GCA_030181205.1,HMT-646,Kingella,kingae,,PYP8,282,2036081,,Contig,46.68,kingella,0
GCA_030181245.1,HMT-646,Kingella,kingae,,KK97,231,1961205,,Contig,46.7,kingella,0
GCA_030181255.1,HMT-646,Kingella,kingae,,KK96,174,1942533,,Contig,46.74,kingella,0
GCA_030181285.1,HMT-646,Kingella,kingae,,KK93,211,1931571,,Contig,46.67,kingella,0
GCA_030181305.1,HMT-646,Kingella,kingae,,KK92,206,1981258,,Contig,46.66,kingella,0
GCA_030181325.1,HMT-646,Kingella,kingae,,KK94,185,1943101,,Contig,46.74,kingella,0
GCA_030181345.1,HMT-646,Kingella,kingae,,KK86,213,1982234,,Contig,46.64,kingella,0
GCA_030181355.1,HMT-646,Kingella,kingae,,KK80,217,1985461,,Contig,46.65,kingella,0
GCA_030181365.1,HMT-646,Kingella,kingae,,KK82,211,1951817,,Contig,46.72,kingella,0
GCA_030181405.1,HMT-646,Kingella,kingae,,KK79,207,1985343,,Contig,46.7,kingella,0
GCA_030181425.1,HMT-646,Kingella,kingae,,KK70,191,1961905,,Contig,46.66,kingella,0
GCA_030181445.1,HMT-646,Kingella,kingae,,KK69,180,1919283,,Contig,46.76,kingella,0
GCA_030181465.1,HMT-646,Kingella,kingae,,KK65,240,1990257,,Contig,46.63,kingella,0
GCA_030181475.1,HMT-646,Kingella,kingae,,KK68,235,1997440,,Contig,46.68,kingella,0
GCA_030181505.1,HMT-646,Kingella,kingae,,KK64,200,1956024,,Contig,46.69,kingella,0
GCA_030181525.1,HMT-646,Kingella,kingae,,KK63,277,1981643,,Contig,46.78,kingella,0
GCA_030181545.1,HMT-646,Kingella,kingae,,KK61,224,1947712,,Contig,46.66,kingella,0
GCA_030181565.1,HMT-646,Kingella,kingae,,KK6,210,1960805,,Contig,46.66,kingella,0
GCA_030181575.1,HMT-646,Kingella,kingae,,KK57,172,1941865,,Contig,46.74,kingella,0
GCA_030181595.1,HMT-646,Kingella,kingae,,KK56,220,1971416,,Contig,46.8,kingella,0
GCA_030181625.1,HMT-646,Kingella,kingae,,KK48,260,1962270,,Contig,46.6,kingella,0
GCA_030181645.1,HMT-646,Kingella,kingae,,KK29,190,1927304,,Contig,46.71,kingella,0
GCA_030181665.1,HMT-646,Kingella,kingae,,KK243,208,1935919,,Contig,46.79,kingella,0
GCA_030181675.1,HMT-646,Kingella,kingae,,KK21,205,1931626,,Contig,46.78,kingella,0
GCA_030181705.1,HMT-646,Kingella,kingae,,KK200,221,1983581,,Contig,46.76,kingella,0
GCA_030181715.1,HMT-646,Kingella,kingae,,KK2,224,1974858,,Contig,46.68,kingella,0
GCA_030181745.1,HMT-646,Kingella,kingae,,KK197,284,1998194,,Contig,46.68,kingella,0
GCA_030181765.1,HMT-646,Kingella,kingae,,KK181,191,1929130,,Contig,46.69,kingella,0
GCA_030181785.1,HMT-646,Kingella,kingae,,KK19,208,1928480,,Contig,46.7,kingella,0
GCA_030181805.1,HMT-646,Kingella,kingae,,KK16,233,1959784,,Contig,46.69,kingella,0
GCA_030181815.1,HMT-646,Kingella,kingae,,KK171,192,1939893,,Contig,46.64,kingella,0
GCA_030181845.1,HMT-646,Kingella,kingae,,KK138,228,1971118,,Contig,46.66,kingella,0
GCA_030181865.1,HMT-646,Kingella,kingae,,PYKK125,204,1979494,,Contig,46.7,kingella,0
GCA_030181885.1,HMT-646,Kingella,kingae,,KK124,209,1996919,,Contig,46.67,kingella,0
GCA_030181915.1,HMT-646,Kingella,kingae,,KK123,198,1996233,,Contig,46.67,kingella,0
GCA_030181925.1,HMT-646,Kingella,kingae,,KK119,259,1968033,,Contig,46.66,kingella,0
GCA_030181985.1,HMT-646,Kingella,kingae,,KK103,193,1958793,,Contig,46.67,kingella,0
GCA_030182005.1,HMT-646,Kingella,kingae,,KK03,214,1979234,,Contig,46.66,kingella,0
GCA_030182015.1,HMT-646,Kingella,kingae,,KK101,229,1975200,,Contig,46.67,kingella,0
GCA_030182065.1,HMT-646,Kingella,kingae,,KK01,207,1962625,,Contig,46.65,kingella,0
GCA_030182085.1,HMT-646,Kingella,kingae,,KahiriBlood,191,1963794,,Contig,46.66,kingella,0
GCA_030182105.1,HMT-646,Kingella,kingae,,KahiriPH1,206,1962296,,Contig,46.67,kingella,0
GCA_030182125.1,HMT-646,Kingella,kingae,,KK129,205,1971649,,Contig,46.68,kingella,0
GCA_030182145.1,HMT-646,Kingella,kingae,,ItzPH1,208,1982091,,Contig,46.66,kingella,0
GCA_030182155.1,HMT-646,Kingella,kingae,,ItzBlood,237,1985027,,Contig,46.66,kingella,0
GCA_030182185.1,HMT-646,Kingella,kingae,,IDOPH2,199,1960038,,Contig,46.67,kingella,0
GCA_030182205.1,HMT-646,Kingella,kingae,,IDOPH1,219,1967805,,Contig,46.7,kingella,0
GCA_030182225.1,HMT-646,Kingella,kingae,,CC062,227,1975766,,Contig,46.61,kingella,0
GCA_030182245.1,HMT-646,Kingella,kingae,,IDOBlood,203,1966161,,Contig,46.65,kingella,0
GCA_030182285.1,HMT-646,Kingella,kingae,,BB300,188,1956729,,Contig,46.8,kingella,0
GCA_030182305.1,HMT-646,Kingella,kingae,,AA574,199,1923955,,Contig,46.72,kingella,0
GCA_030182315.1,HMT-646,Kingella,kingae,,BB285,174,1924862,,Contig,46.7,kingella,0
GCA_030182365.1,HMT-646,Kingella,kingae,,AA026,247,1973779,,Contig,46.66,kingella,0
GCA_030182385.1,HMT-646,Kingella,kingae,,AA097,178,1926327,,Contig,46.72,kingella,0
GCA_030182405.1,HMT-646,Kingella,kingae,,AA010,214,1981813,,Contig,46.76,kingella,0
GCA_900111845.1,HMT-646,Kingella,kingae,,ATCC 23330,59,1953889,,Contig,46.64,kingella,0
GCA_900451155.1,HMT-646,Kingella,kingae,,NCTC10746,5,2092391,,Contig,46.39,kingella,0
GCA_900475905.1,HMT-646,Kingella,kingae,,NCTC10529,1,2006553,,Complete Genome,46.57,kingella,0
GCA_000751855.1,HMT-405,Kingella,negevensis,,Pharynx,78,2130549,,Contig,45.47,kingella,0
GCA_030177875.1,HMT-405,Kingella,negevensis,,D2292,1,2201616,,Chromosome,45.49,kingella,0
GCA_030177895.1,HMT-405,Kingella,negevensis,,SW7208426,1,2142207,,Chromosome,45.38,kingella,0
GCA_030180945.1,HMT-405,Kingella,negevensis,,CC443,17,2214609,,Contig,45.49,kingella,0
GCA_030180955.1,HMT-405,Kingella,negevensis,,CC132,45,2096725,,Contig,45.47,kingella,0
GCA_030180965.1,HMT-405,Kingella,negevensis,,AA267,107,2088117,,Contig,45.61,kingella,0
GCA_030180985.1,HMT-405,Kingella,negevensis,,BB331,3,2211394,,Contig,45.49,kingella,0
GCA_030180995.1,HMT-405,Kingella,negevensis,,BB526,3,2211538,,Contig,45.49,kingella,0
GCA_030181045.1,HMT-405,Kingella,negevensis,,CC505b,39,2166202,,Contig,45.47,kingella,0
GCA_030181055.1,HMT-405,Kingella,negevensis,,EPA014,5,2210087,,Contig,45.49,kingella,0
GCA_030181065.1,HMT-405,Kingella,negevensis,,PED555,30,2160838,,Contig,45.47,kingella,0
GCA_030181105.1,HMT-405,Kingella,negevensis,,D7641,11,2189528,,Contig,45.45,kingella,0
GCA_030181115.1,HMT-405,Kingella,negevensis,,PVC1712,20,2194274,,Contig,45.5,kingella,0
GCA_900177895.1,HMT-405,Kingella,negevensis,,SW7208426,12,2187398,,Scaffold,45.96,kingella,0
GCA_900182485.2,HMT-405,Kingella,negevensis,,kingella_eburonensis,108,2109050,,Contig,45.54,kingella,0
GCA_000160435.1,HMT-706,Kingella,oralis,,ATCC 51147,5,2406675,,Scaffold,54.34,kingella,0
GCA_014054985.1,HMT-706,Kingella,oralis,,DSM 18271,2,2420532,,Complete Genome,54.3,kingella,0
GCA_016623605.1,HMT-706,Kingella,oralis,,Marseille-Q4569,9,2502986,,Scaffold,54.03,kingella,0
GCA_000215745.1,HMT-153,Klebsiella,aerogenes,,KCTC 2190,1,5280350,,Complete Genome,54.85,klebsiella,0
GCA_000334515.1,HMT-153,Klebsiella,aerogenes,,EA1509E,3,5591105,,Complete Genome,54.91,klebsiella,0
GCA_003417445.1,HMT-153,Klebsiella,aerogenes,,ATCC 13048,61,5236772,,Contig,54.84,klebsiella,0
GCA_003546885.1,HMT-153,Klebsiella,aerogenes,,FDAARGOS_327,3,5400171,,Complete Genome,54.95,klebsiella,0
GCA_009732795.1,HMT-153,Klebsiella,aerogenes,,Y6,1,5266224,,Complete Genome,54.92,klebsiella,0
GCA_009909445.1,HMT-153,Klebsiella,aerogenes,,HNHF1,2,5487999,,Complete Genome,54.71,klebsiella,0
GCA_011604725.1,HMT-153,Klebsiella,aerogenes,,35,6,5378629,,Complete Genome,54.45,klebsiella,0
GCA_014169215.1,HMT-153,Klebsiella,aerogenes,,WP5-W18-CRE-01,2,5462605,,Complete Genome,54.81,klebsiella,0
GCA_027595705.1,HMT-153,Klebsiella,aerogenes,,S33_CRE34,3,5487446,,Complete Genome,54.84,klebsiella,0
GCA_900635435.1,HMT-153,Klebsiella,aerogenes,,NCTC10006,13,5265473,,Complete Genome,54.93,klebsiella,0
GCA_000281755.1,HMT-731,Klebsiella,pneumoniae,,DSM 30104,27,5512347,,Contig,57.02,klebsiella,0
GCA_000614665.1,HMT-731,Klebsiella,pneumoniae,,JCM 1662,201,5470076,,Contig,57.01,klebsiella,0
GCA_000742135.1,HMT-731,Klebsiella,pneumoniae,,ATCC 13883,5,5545784,,Scaffold,57.01,klebsiella,0
GCA_000788015.1,HMT-731,Klebsiella,pneumoniae,,ATCC 13883,87,5725870,,Scaffold,57.08,klebsiella,0
GCA_001590945.1,HMT-731,Klebsiella,pneumoniae,,NBRC 14940,141,5463002,,Contig,57.05,klebsiella,0
GCA_001646625.1,HMT-731,Klebsiella,pneumoniae,,W14,3,5495481,,Complete Genome,57.13,klebsiella,0
GCA_001908715.1,HMT-731,Klebsiella,pneumoniae,,CAV1217,5,5379063,,Complete Genome,57.11,klebsiella,0
GCA_001908895.1,HMT-731,Klebsiella,pneumoniae,,Kp_Goe_821588,3,5526153,,Complete Genome,57.3,klebsiella,0
GCA_002156725.1,HMT-731,Klebsiella,pneumoniae,,BK13043,4,5896654,,Complete Genome,56.99,klebsiella,0
GCA_002248115.3,HMT-731,Klebsiella,pneumoniae,,KPCTRSRTH07,11,5827024,,Complete Genome,56.88,klebsiella,0
GCA_000735365.1,HMT-865,Kluyvera,ascorbata,,ATCC 33433,253,4932354,,Contig,54.34,kluyvera,0
GCA_003789135.1,HMT-865,Kluyvera,ascorbata,,OT2,227,5368186,,Contig,53.89,kluyvera,0
GCA_015099135.1,HMT-865,Kluyvera,ascorbata,,TP1631,6,5371308,,Complete Genome,53.98,kluyvera,0
GCA_015135575.1,HMT-865,Kluyvera,ascorbata,,STW0522-44,12,5625027,,Complete Genome,53.75,kluyvera,0
GCA_023195735.1,HMT-865,Kluyvera,ascorbata,,SK,2,5062542,,Complete Genome,54.04,kluyvera,0
GCA_027681865.1,HMT-865,Kluyvera,ascorbata,,AF57-07b16A,49,4943478,,Scaffold,54.22,kluyvera,0
GCA_900452265.1,HMT-865,Kluyvera,ascorbata,,NCTC9737,5,5126625,,Contig,54.15,kluyvera,0
GCA_902485085.1,HMT-865,Kluyvera,ascorbata,,MGYG-HGUT-03358,196,4968008,,Contig,54.22,kluyvera,0
GCA_946481935.1,HMT-865,Kluyvera,ascorbata,,SRR12180963_bin.2_metawrap_v1.3.0_MAG,62,4828268,yes,Contig,54.36,kluyvera,0
GCA_000286355.1,HMT-189,Kocuria,atrinae,,C3-8,221,3197170,,Contig,63.74,kocuria,0
GCA_001275345.1,HMT-084,Kocuria,palustris,,MU14/1,1,2854447,,Complete Genome,70.5,kocuria,0
GCA_001483775.1,HMT-084,Kocuria,palustris,,CD07_3,18,2833425,,Contig,70.41,kocuria,0
GCA_016907795.1,HMT-084,Kocuria,palustris,,TAGA27,1,2897960,,Contig,70.25,kocuria,0
GCA_017167265.1,HMT-084,Kocuria,palustris,,F6_7S_B_1,34,2843704,,Scaffold,70.54,kocuria,0
GCA_017167485.1,HMT-084,Kocuria,palustris,,F6_1S_P_2,31,2844162,,Scaffold,70.54,kocuria,0
GCA_017167505.1,HMT-084,Kocuria,palustris,,F5_7S_P7,32,2844494,,Scaffold,70.54,kocuria,0
GCA_017167685.1,HMT-084,Kocuria,palustris,,F5_7S_P2B,32,2843686,,Contig,70.54,kocuria,0
GCA_017167735.1,HMT-084,Kocuria,palustris,,F5_7S_P2A,33,2844036,,Scaffold,70.55,kocuria,0
